k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29
1.257230871,1.201602482,1.147293695,1.075308622,13.12952825,1.118979225,1.345520511,1.175761791,15.68477347,1.138882498,1.063604571,23.50066794,0.922876345,1.339317078,1.23059745,1.343449862,1.145401269,1.277041442,1.068150969,0.986441298,1.044440176,1.332214209,1.619292709,13.74034052,26.1859004,1.380474168,21.9976419,0.934651137,1.2665305
25.67675815,22.94353772,13.1375188,2.609205665,3.0725844,1.264063996,1.274348929,1.651266931,12.81568737,1.284531573,1.122375891,0.898088389,0.946227564,1.078662358,0.784466274,20.84482441,0.69236709,0.850869137,0.700991619,0.986852706,0.894224999,0.802890801,0.812795409,0.637699663,22.1494134,0.9476206,12.26996039,1.023695881,1.00171827
0.745848199,0.647630298,0.746536162,0.79038822,23.46655772,0.63793556,0.848832473,0.649783322,22.93262405,13.94457556,24.95019627,0.732853504,0.701350565,0.605770312,0.791626132,0.64915548,0.726607802,13.66812332,0.742736902,0.719033002,0.688621039,14.87599914,0.709332998,0.732374475,0.802381019,0.870935874,0.946935565,0.855197991,0.631343363
26.62273874,15.71618184,1.167553998,1.091019556,0.666000512,21.31238083,0.668758257,0.758484864,0.820457775,0.896977727,1.073659405,12.70104239,14.1757328,1.077697303,0.868485811,0.79303962,0.769059704,0.944449091,0.816503171,0.921029388,1.031875794,0.645195725,24.02106766,1.089245798,0.91430412,0.570854157,0.814843072,0.869118525,0.492708051
0.902667805,1.448333209,0.839023961,1.570881584,1.267228949,0.846122976,1.801200344,0.835561654,30.29051256,0.877343652,28.34559799,0.741416149,1.510874963,1.252546166,1.588581436,0.790356422,0.953035069,18.00174193,1.291552106,1.400789922,0.748924196,16.67106166,1.034194676,1.279558738,0.628304456,1.719082821,1.740608474,1.58389705,1.885349478
0.622528669,0.55251316,0.554788795,0.621605632,9.309414297,21.39087213,0.547397327,20.54874193,0.497873456,0.749665199,0.612547353,12.7213614,12.76629491,0.612392004,0.555518297,21.46719099,0.558019696,0.636884465,0.556638301,0.59659854,0.570280046,1.278011667,21.42479558,0.60901451,0.59472724,1.170157604,21.36622205,0.565805993,0.546933376
21.90280287,7.529821352,1.15220378,0.92864708,1.131452084,1.078163481,21.58472221,1.255095096,0.898297534,0.834585943,0.93373554,1.099115928,24.31523675,14.13264874,23.88978244,1.724179584,1.301048113,1.050380309,0.968144548,0.830512662,1.25203338,1.247124591,0.885048331,0.97692249,0.912756567,14.1760452,1.595506243,1.641237202,2.603361944
2.63143716,1.297752255,1.389892611,0.621644962,1.072865407,1.528806596,2.296451938,34.53314315,1.589282054,0.615449973,1.196683652,1.290990258,2.068567497,2.246217881,26.01579248,21.1994453,1.074731702,0.558622283,1.139391526,1.440054153,2.000033822,2.443875145,2.196404554,2.469019003,0.596668219,0.452149436,1.756848286,2.884282433,15.91030902
0.847569602,0.628068752,25.48780217,0.642479705,0.516541505,15.00333866,13.5713388,22.53290993,0.868608798,0.897688158,0.666522192,0.690744566,0.734440332,0.673794214,0.652387436,13.08154039,0.757779684,0.518508251,0.782849058,0.634336579,0.641447943,0.792342354,0.674989071,0.759819485,0.541793635,23.07724129,0.702016227,0.617103265,0.660405072
0.77739181,0.89663768,23.1378601,0.721165445,0.734411604,13.51681852,1.029000997,0.685218699,0.996814925,1.106503983,0.749724001,0.79850127,13.9924685,0.654496286,14.02351585,0.92022277,0.813151864,0.595131253,0.869700701,0.787817154,0.856039378,23.89176994,24.1607241,0.732525899,0.674373855,0.71249899,0.62476868,0.903807682,0.880132783
17.94882741,3.252490214,3.263382506,2.333340388,28.57772009,2.250402185,1.094760715,1.008175723,1.894777677,14.48031694,1.778362965,0.919443289,0.726419188,1.533243491,2.870594467,1.045847766,0.649628651,0.94554419,2.570878269,3.29346311,1.242837106,0.816240837,1.278966143,1.897131892,2.275648026,1.525263186,1.486269634,2.605731175,32.91577375
0.8378825,1.024975331,0.899595858,1.149078751,24.31877867,1.063276196,23.92530596,0.951831967,1.103691012,19.23284053,0.788009439,0.881093826,1.212093611,14.24074395,1.239397628,0.928051381,1.034771682,21.91751622,1.175575715,7.933648628,1.584248256,1.058161151,12.60570812,1.194605887,1.26336343,1.048406816,1.019375319,1.179285337,1.327083856
7.758834209,5.7185379,7.704861314,0.16558034,11.17883985,7.215137894,6.038432962,9.234567286,7.049102833,5.060022697,4.11831034,4.525558358,4.646695269,4.218411717,6.596657162,8.183753022,1.446580321,5.065798933,0.724163031,1.69533757,0.887130954,3.983013136,8.461527399,1.560598273,4.328902427,3.607499854,7.45770407,0.794667468,5.449679693
7.113960024,5.468292248,5.253138106,2.432708222,7.93145307,7.143129977,8.034418003,6.818808003,8.658673832,5.795889229,6.873632992,4.710453524,6.266135976,2.137381848,5.675614914,6.585909441,1.439101739,4.209408287,2.463076596,0.955622291,1.260586367,7.22789552,6.684197991,1.847438048,7.021472637,3.768211267,5.232192996,2.229780055,4.10529446
7.958077937,4.387147171,7.438090714,1.125826842,9.525681131,7.476497623,5.532097416,6.753947773,7.6747575,2.47707508,6.255837833,5.882293741,5.549081176,2.849665391,7.740176223,6.547526243,0,5.723969743,1.929357437,0.592516695,0.766542007,3.810908463,7.754411569,1.686001602,2.661061067,4.521715638,5.768492308,1.275620354,3.658311873
