k=1,k=2,k=3,k=4,k=5,k=6,k=7,k=8,k=9,k=10,k=11,k=12,k=13,k=14,k=15,k=16,k=17,k=18,k=19,k=20,k=21,k=22,k=23,k=24,k=25,k=26,k=27,k=28,k=29
0.825787299,0.864319584,0.908378774,0.904594822,26.93722363,0.908411764,1.376874459,1.195320043,0.812314826,25.33542863,3.294332548,27.76164951,26.58517427,0.908782612,1.017657003,1.210259283,1.58789885,1.134763908,1.433350697,0.911945999,14.64444795,0.929613293,0.690507724,1.133120488,2.525262694,0.870466392,3.357607998,0.922187694,1.099053809
6.058811458,26.36270657,2.138475238,3.093317863,2.266768867,3.154783948,1.09480937,25.70708764,1.633930547,1.858838253,2.732901157,1.471498943,2.397840785,1.78851053,1.443729023,1.740245785,3.462155712,26.87857087,1.342195505,2.841014949,1.573003054,1.543165543,1.709593616,1.195158391,22.72953595,1.576030922,1.805476145,1.404540568,23.48257898
1.003284421,1.005394632,1.371596305,1.160628246,0.470103771,0.495093705,1.49121551,29.17120172,2.003816207,1.025746679,0.535155599,2.898149913,0.498449715,0.926925656,1.036664196,30.24783563,2.212885834,0.501948823,0.360974234,0.516229589,0.911476226,29.87829565,0.951981835,3.129613454,0.855128527,1.205236438,1.029595975,1.044873482,0.974349068
1.685746581,2.52372635,1.092606243,28.62000557,1.270055883,1.007831304,0.777098153,0.893043363,2.094932544,1.447206998,1.240766962,0.716761681,23.46286703,1.142721008,0.846768307,2.830932534,0.827689218,1.13423864,1.059012057,1.128504663,0.849218187,0.932142665,0.874839889,1.812350317,1.216285934,0.916768268,28.8860592,27.33486319,1.844364621
0.845551749,1.333905342,1.228992938,0.840569516,0.774249043,9.335188321,0.689985893,0.797344956,0.935945729,1.046143511,0.702474913,0.729338935,23.74897041,0.666215205,0.716433211,0.865740016,1.098665725,3.20000848,27.13744504,32.85140798,0.798031001,0.560332463,1.167107213,0.910251737,23.48538491,0.773816683,12.28206585,0.621403012,1.325696376
0.851248451,1.055668411,1.009458143,0.998767353,0.929655332,1.775313831,0.922697108,28.40699005,30.43373541,0.78977426,0.453277339,0.539260361,0.549708992,3.126978183,0.398814777,0.751497339,1.672303986,1.100810232,3.021470853,1.089015725,30.90118195,1.030913414,1.02159618,0.865026405,0.572222672,0.97396165,1.082403394,2.067689778,0.614247678
2.463127037,1.32882398,1.203107483,1.679443012,27.28132914,0.815444625,1.123964536,23.45571583,0.934743951,1.208998672,1.762419535,1.2790543,1.433942414,0.754814717,1.02134233,1.070116682,29.01565143,0.741606292,0.692351734,0.704966887,0.855836315,2.172696194,1.68498524,0.972948726,1.119687293,2.817180466,0.862911599,0.868868418,28.6345921
0.675502557,1.154827145,0.490577837,1.864729557,1.262118449,0.718524118,0.584087446,22.18819968,0.976323733,1.529222547,29.47302557,1.074202688,2.928653607,1.404453622,24.54453168,1.019499248,30.68392467,0.975329721,1.371148405,1.101671254,0.832406753,2.4630268,2.108981261,0.837603885,0.850991384,4.221584644,0.466905389,0.824278057,0.475403808
1.65953913,5.551980516,1.374442109,5.428012108,9.930340733,1.621223344,0.637680707,11.8541742,3.279256841,2.640200411,3.272402023,6.27346786,11.06226004,1.298937189,5.422666345,3.596674012,11.2640183,2.683061919,5.171931018,6.66761699,5.506080588,3.007054636,1.088641008,0.842412617,8.339527897,2.281344368,4.768420263,5.193486764,10.19379203
2.211863581,5.661919272,0.815579255,5.496042869,8.972196985,2.659741988,1.004484681,10.50439691,6.512515653,5.139775062,5.139834017,4.274524759,11.5623061,1.528386928,3.784105262,3.175563674,6.901927788,5.617537815,4.879662064,4.241821632,5.33580426,4.010746764,1.400156096,1.840782489,5.27757718,1.591845424,5.812640698,4.885794241,6.507046886
1.385961161,5.427654554,1.097413448,5.3330271,8.04959567,2.79032791,1.168677499,12.77093279,3.050158688,4.993065552,6.001351022,4.570753012,11.89219767,0.983283696,3.187691203,4.201952774,8.267091682,5.170381969,5.215872726,4.009211167,4.629633046,4.747915002,1.649494076,1.431589966,6.205283055,1.249217988,5.229131737,2.822406854,8.210670838
1.14362525,3.583974304,0.946337773,5.103401308,10.65557164,2.128776819,1.327875528,21.12349142,6.747486565,3.30964872,3.197482043,6.160837684,12.75209352,0.954259367,4.258983147,4.197140996,8.904870232,5.439999541,3.089693558,5.32216985,7.374610654,4.555841313,1.167385079,1.097090729,5.305528077,2.261312564,5.428508945,5.766842057,4.519991222
1.189985209,0.393830162,29.88080958,1.261576813,0.825644983,1.319215138,1.866211837,0.464349698,1.152501432,0.880218684,0.958851698,32.36496968,1.158986955,1.034905914,0.482870241,0.691344354,0.385152588,23.92219744,0.961886622,13.26756121,1.674285443,1.213009448,0.434731318,1.228279055,3.3735834,1.009838275,1.208265864,0.922533985,0.442522572
