,model_type,n_vocab,d_model,d_hidden,lr,weight_decay,frac,runid,save_embeddings,dist_irr,grad_sym,circ
0,B,59,256,256,0.001,2.0,0.8,beta_repr_7,True,0.25356974987095593,1.0000000149011612,0.7593434687687017
1,B,59,256,256,0.001,2.0,0.8,beta_repr_4,True,0.3076869797969603,1.0000000077486038,0.9966627957482924
2,B,59,256,256,0.001,2.0,0.8,beta_repr_2,True,0.31069095083127307,1.0000000023841857,0.9403215077028075
3,B,59,256,256,0.001,2.0,0.8,beta_repr_3,True,0.31933254625915464,1.0000000029802323,0.9967278058258452
4,B,59,256,256,0.001,2.0,0.8,beta_repr_8,True,0.2722188386083264,1.0000000125169755,0.9986714499150559
5,B,59,256,256,0.001,2.0,0.8,beta_repr_9,True,0.29377689944397306,1.000000006556511,0.9994053375917593
6,B,59,256,256,0.001,2.0,0.8,beta_repr_1,True,0.6195126547074316,1.0000000035762786,0.7252852867028542
7,B,59,256,256,0.001,2.0,0.8,beta_repr_6,True,0.26680856033162825,1.0000000089406966,0.996330053628389
8,B,59,256,256,0.001,2.0,0.8,beta_repr_5,True,0.2326960402174709,1.0000000035762786,0.9984122647641794
9,B,59,256,256,0.001,2.0,0.8,beta_repr_10,True,0.2299660817581152,1.0000000113248826,0.9968859058003696
