,model_type,n_vocab,d_model,d_hidden,lr,weight_decay,frac,runid,save_embeddings,dist_irr,grad_sym,circ
0,C,59,256,256,0.001,2.0,0.8,gama_repr_9,True,0.26278793105018333,1.0000000047683715,0.9937705116598066
1,C,59,256,256,0.001,2.0,0.8,gama_repr_4,True,0.9023394969118665,0.9999999958276748,0.9359762218610149
2,C,59,256,256,0.001,2.0,0.8,gama_repr_6,True,0.26067146865793006,1.0000000005960465,0.9932753330231981
3,C,59,256,256,0.001,2.0,0.8,gama_repr_5,True,0.290281739306285,1.000000022649765,0.9992395530769103
4,C,59,256,256,0.001,2.0,0.8,gama_repr_3,True,0.28381127707471804,1.0000000047683715,0.9837810234550524
5,C,59,256,256,0.001,2.0,0.8,gama_repr_8,True,0.2692592810148621,1.0,0.9775853433279447
6,C,59,256,256,0.001,2.0,0.8,gama_repr_2,True,0.27253473274810736,1.0000000220537186,0.9979671398546728
7,C,59,256,256,0.001,2.0,0.8,gama_repr_10,True,0.26548952841342083,1.0000000023841857,0.9721570945015936
8,C,59,256,256,0.001,2.0,0.8,gama_repr_7,True,0.28446871908853366,1.0000000131130218,0.9603064106588368
9,C,59,256,256,0.001,2.0,0.8,gama_repr_1,True,0.2587864827344728,1.0000000035762786,0.999418084706497
